[ 0.23652079 -0.12176869  0.09794834 -0.08003216  0.07447589 -0.07126837
  0.06777156 -0.07032193  0.07408859 -0.08057488  0.0961663  -0.12237055]
[-0.12176869  0.23489559 -0.12237174  0.09581376 -0.07957479  0.07237207
 -0.06724716  0.06782123 -0.06791449  0.07040368 -0.0777293   0.09267605]
[ 0.09794834 -0.12237174  0.23545564 -0.12054736  0.09486294 -0.07812102
  0.07117976 -0.06727278  0.06690714 -0.06496848  0.0704898  -0.0792853 ]
[-0.08003216  0.09581376 -0.12054736  0.23422464 -0.12186256  0.09572048
 -0.08032224  0.07287072 -0.06818336  0.06582752 -0.0659952   0.0706872 ]
[ 0.07447589 -0.07957479  0.09486294 -0.12186256  0.23434999 -0.12427367
  0.09778796 -0.08012363  0.07592569 -0.06866208  0.0657133  -0.06560005]
[-0.07126837  0.07237207 -0.07812102  0.09572048 -0.12427367  0.23752311
 -0.12609868  0.09536779 -0.08389177  0.07465664 -0.0698189   0.06858165]
[ 0.06777156 -0.06724716  0.07117976 -0.08032224  0.09778796 -0.12609868
  0.23550384 -0.12665052  0.10263076 -0.08354432  0.0752132  -0.0688602 ]
[-0.07032193  0.06782123 -0.06727278  0.07287072 -0.08012363  0.09536779
 -0.12665052  0.23761231 -0.12624453  0.10040496 -0.0810721   0.07303185]
[ 0.07408859 -0.06791449  0.06690714 -0.06818336  0.07592569 -0.08389177
  0.10263076 -0.12624453  0.23605239 -0.12221648  0.0945323  -0.08022155]
[-0.08057488  0.07040368 -0.06496848  0.06582752 -0.06866208  0.07465664
 -0.08354432  0.10040496 -0.12221648  0.23540736 -0.1249336   0.0969896 ]
[ 0.0961663 -0.0777293  0.0704898 -0.0659952  0.0657133 -0.0698189
  0.0752132 -0.0810721  0.0945323 -0.1249336  0.236311  -0.1234335]
[-0.12237055  0.09267605 -0.0792853   0.0706872  -0.06560005  0.06858165
 -0.0688602   0.07303185 -0.08022155  0.0969896  -0.1234335   0.23424975]
