[ 0.24055216 -0.14285064  0.12390628 -0.10605064  0.098066   -0.09592296
  0.0879912  -0.08506324  0.08456476 -0.08237008  0.08372852 -0.0823214
  0.08464656 -0.08846168  0.09344796 -0.09371596  0.098166   -0.1091452
  0.12075776 -0.14329792]
[-0.14285064  0.24074556 -0.14359862  0.12044556 -0.104639    0.10106884
 -0.0920048   0.08942846 -0.08583354  0.08632632 -0.08227558  0.0839781
 -0.08295824  0.08533772 -0.08935634  0.08977834 -0.093639    0.1018458
 -0.10434304  0.11989568]
[ 0.12390628 -0.14359862  0.24095599 -0.14529862  0.1212155  -0.11148018
  0.1011596  -0.09612067  0.09342833 -0.08921764  0.08507991 -0.08546245
  0.08279648 -0.08340294  0.08839893 -0.08776793  0.0906155  -0.0953041
  0.09821608 -0.10885136]
[-0.10605064  0.12044556 -0.14529862  0.24074556 -0.141439    0.12366884
 -0.1053048   0.09962846 -0.09233354  0.08922632 -0.08487558  0.0857781
 -0.08425824  0.08183772 -0.08235634  0.08457834 -0.084639    0.0898458
 -0.09164304  0.09749568]
[ 0.098066  -0.104639   0.1212155 -0.141439   0.240975  -0.143721
  0.11662   -0.1055615  0.0987885 -0.092358   0.0888395 -0.0889025
  0.084456  -0.080743   0.0812585 -0.0836085  0.082275  -0.085445
  0.089776  -0.093292 ]
[-0.09592296  0.10106884 -0.11148018  0.12366884 -0.143721    0.24157276
 -0.1424472   0.12523194 -0.10768606  0.09875048 -0.09425362  0.0930159
 -0.08983936  0.08517508 -0.08553526  0.08739326 -0.081621    0.0885462
 -0.08830656  0.09080752]
[ 0.0879912 -0.0920048  0.1011596 -0.1053048  0.11662   -0.1424472
  0.239184  -0.1441868  0.1214732 -0.1051256  0.0955764 -0.090698
  0.0855992 -0.0848376  0.0825972 -0.0842572  0.08262   -0.084664
  0.0834832 -0.0836344]
[-0.08506324  0.08942846 -0.09612067  0.09962846 -0.1055615   0.12523194
 -0.1441868   0.24159111 -0.14282589  0.11731012 -0.10259403  0.09657585
 -0.09057984  0.08723502 -0.08567569  0.08805269 -0.0846615   0.0865053
 -0.08204664  0.08276688]
[ 0.08456476 -0.08583354  0.09342833 -0.09233354  0.0987885  -0.10768606
  0.1214732  -0.14282589  0.23965711 -0.13965388  0.12024697 -0.10621915
  0.09866816 -0.09165898  0.08716731 -0.08669031  0.0827885  -0.0841047
  0.08216136 -0.08126912]
[-0.08237008  0.08632632 -0.08921764  0.08922632 -0.092358    0.09875048
 -0.1051256   0.11731012 -0.13965388  0.24070704 -0.14009476  0.1193582
 -0.10567728  0.09681784 -0.08977548  0.08775948 -0.083258    0.0853276
 -0.08266288  0.08397696]
[ 0.08372852 -0.08227558  0.08507991 -0.08487558  0.0888395  -0.09425362
  0.0955764  -0.10259403  0.12024697 -0.14009476  0.24080319 -0.14184205
  0.12122032 -0.10458246  0.09602237 -0.09324337  0.0889395  -0.0862769
  0.08333672 -0.08102624]
[-0.0823214   0.0839781  -0.08546245  0.0857781  -0.0889025   0.0930159
 -0.090698    0.09657585 -0.10621915  0.1193582  -0.14184205  0.24009975
 -0.1437224   0.1224597  -0.10642215  0.10051715 -0.0933025   0.0895955
 -0.0847204   0.0836368 ]
[ 0.08464656 -0.08295824  0.08279648 -0.08425824  0.084456   -0.08983936
  0.0855992  -0.09057984  0.09866816 -0.10567728  0.12122032 -0.1437224
  0.24093696 -0.14116288  0.11983936 -0.10842736  0.100256   -0.0955632
  0.08745616 -0.08541072]
[-0.08846168  0.08533772 -0.08340294  0.08183772 -0.080743    0.08517508
 -0.0848376   0.08723502 -0.09165898  0.09681784 -0.10458246  0.1224597
 -0.14116288  0.24011964 -0.14316258  0.12247658 -0.106643    0.1009546
 -0.09216048  0.08789616]
[ 0.09344796 -0.08935634  0.08839893 -0.08235634  0.0812585  -0.08553526
  0.0825972  -0.08567569  0.08716731 -0.08977548  0.09602237 -0.10642215
  0.11983936 -0.14316258  0.24084151 -0.14372451  0.1217585  -0.1072587
  0.09875656 -0.09450752]
[-0.09371596  0.08977834 -0.08776793  0.08457834 -0.0836085   0.08739326
 -0.0842572   0.08805269 -0.08669031  0.08775948 -0.09324337  0.10051715
 -0.10842736  0.12247658 -0.14372451  0.24110751 -0.1422085   0.1200687
 -0.10440456  0.09792352]
[ 0.098166  -0.093639   0.0906155 -0.084639   0.082275  -0.081621
  0.08262   -0.0846615  0.0827885 -0.083258   0.0889395 -0.0933025
  0.100256  -0.106643   0.1217585 -0.1422085  0.240975  -0.142845
  0.117376  -0.104792 ]
[-0.1091452  0.1018458 -0.0953041  0.0898458 -0.085445   0.0885462
 -0.084664   0.0865053 -0.0841047  0.0853276 -0.0862769  0.0895955
 -0.0955632  0.1009546 -0.1072587  0.1200687 -0.142845   0.241719
 -0.1423272  0.1226824]
[ 0.12075776 -0.10434304  0.09821608 -0.09164304  0.089776   -0.08830656
  0.0834832  -0.08204664  0.08216136 -0.08266288  0.08333672 -0.0847204
  0.08745616 -0.09216048  0.09875656 -0.10440456  0.117376   -0.1423272
  0.24015936 -0.14288512]
[-0.14329792  0.11989568 -0.10885136  0.09749568 -0.093292    0.09080752
 -0.0836344   0.08276688 -0.08126912  0.08397696 -0.08102624  0.0836368
 -0.08541072  0.08789616 -0.09450752  0.09792352 -0.104792    0.1226824
 -0.14288512  0.24123904]
